Transaction_ID,Items,Items_List
T039,"Sugar, Coffee, Creamer, Milk","['Sugar', 'Coffee', 'Creamer', 'Milk']"
T040,"Bread, Eggs, Milk, Butter","['Bread', 'Eggs', 'Milk', 'Butter']"
T041,"Rice, Cooking Oil, Soy Sauce","['Rice', 'Cooking Oil', 'Soy Sauce']"
T042,"Milk, Bread, Eggs, Juice","['Milk', 'Bread', 'Eggs', 'Juice']"
T043,"Coffee, Sugar, Bread, Creamer","['Coffee', 'Sugar', 'Bread', 'Creamer']"
T044,"Eggs, Milk, Butter, Cheese","['Eggs', 'Milk', 'Butter', 'Cheese']"
T045,"Bread, Milk, Eggs, Coffee, Sugar","['Bread', 'Milk', 'Eggs', 'Coffee', 'Sugar']"
T046,"Rice, Canned Goods, Vinegar","['Rice', 'Canned Goods', 'Vinegar']"
T047,"Milk, Bread, Butter, Juice","['Milk', 'Bread', 'Butter', 'Juice']"
T048,"Eggs, Bread, Milk, Cheese","['Eggs', 'Bread', 'Milk', 'Cheese']"
T049,"Coffee, Sugar, Creamer, Bread","['Coffee', 'Sugar', 'Creamer', 'Bread']"
T050,"Milk, Eggs, Bread, Butter","['Milk', 'Eggs', 'Bread', 'Butter']"
T051,"Bread, Milk, Eggs, Cheese","['Bread', 'Milk', 'Eggs', 'Cheese']"
T052,"Rice, Cooking Oil, Soy Sauce, Canned Goods","['Rice', 'Cooking Oil', 'Soy Sauce', 'Canned Goods']"
T053,"Milk, Bread, Coffee, Sugar","['Milk', 'Bread', 'Coffee', 'Sugar']"
T054,"Eggs, Butter, Milk, Juice","['Eggs', 'Butter', 'Milk', 'Juice']"
T055,"Coffee, Sugar, Creamer","['Coffee', 'Sugar', 'Creamer']"
T056,"Bread, Milk, Eggs, Butter","['Bread', 'Milk', 'Eggs', 'Butter']"
T057,"Rice, Vinegar, Soy Sauce","['Rice', 'Vinegar', 'Soy Sauce']"
T058,"Milk, Bread, Cheese, Eggs","['Milk', 'Bread', 'Cheese', 'Eggs']"
T059,"Coffee, Sugar, Bread, Milk","['Coffee', 'Sugar', 'Bread', 'Milk']"
T060,"Eggs, Bread, Butter, Cheese","['Eggs', 'Bread', 'Butter', 'Cheese']"
T061,"Bread, Milk, Juice, Eggs","['Bread', 'Milk', 'Juice', 'Eggs']"
T062,"Rice, Cooking Oil, Canned Goods","['Rice', 'Cooking Oil', 'Canned Goods']"
T063,"Milk, Eggs, Bread, Coffee, Sugar","['Milk', 'Eggs', 'Bread', 'Coffee', 'Sugar']"
T064,"Butter, Cheese, Milk, Eggs","['Butter', 'Cheese', 'Milk', 'Eggs']"
T065,"Bread, Milk, Eggs, Juice","['Bread', 'Milk', 'Eggs', 'Juice']"
T066,"Coffee, Sugar, Creamer, Bread","['Coffee', 'Sugar', 'Creamer', 'Bread']"
T067,"Rice, Soy Sauce, Cooking Oil, Vinegar","['Rice', 'Soy Sauce', 'Cooking Oil', 'Vinegar']"
T068,"Milk, Bread, Butter, Eggs","['Milk', 'Bread', 'Butter', 'Eggs']"
T069,"Eggs, Cheese, Milk, Bread","['Eggs', 'Cheese', 'Milk', 'Bread']"
T070,"Coffee, Sugar, Milk, Bread","['Coffee', 'Sugar', 'Milk', 'Bread']"
T071,"Bread, Milk, Eggs, Butter, Cheese","['Bread', 'Milk', 'Eggs', 'Butter', 'Cheese']"
T072,"Rice, Canned Goods, Cooking Oil","['Rice', 'Canned Goods', 'Cooking Oil']"
T073,"Milk, Bread, Juice, Butter","['Milk', 'Bread', 'Juice', 'Butter']"
T074,"Eggs, Bread, Milk, Coffee","['Eggs', 'Bread', 'Milk', 'Coffee']"
T075,"Sugar, Coffee, Creamer","['Sugar', 'Coffee', 'Creamer']"
T076,"Bread, Milk, Eggs, Sugar","['Bread', 'Milk', 'Eggs', 'Sugar']"
T077,"Rice, Soy Sauce, Vinegar","['Rice', 'Soy Sauce', 'Vinegar']"
T078,"Milk, Bread, Butter, Coffee","['Milk', 'Bread', 'Butter', 'Coffee']"
T079,"Eggs, Cheese, Bread, Milk","['Eggs', 'Cheese', 'Bread', 'Milk']"
T080,"Coffee, Sugar, Creamer, Milk","['Coffee', 'Sugar', 'Creamer', 'Milk']"
T081,"Bread, Milk, Eggs, Juice","['Bread', 'Milk', 'Eggs', 'Juice']"
T082,"Rice, Cooking Oil, Canned Goods, Soy Sauce","['Rice', 'Cooking Oil', 'Canned Goods', 'Soy Sauce']"
T083,"Milk, Bread, Eggs, Butter","['Milk', 'Bread', 'Eggs', 'Butter']"
T084,"Coffee, Sugar, Bread","['Coffee', 'Sugar', 'Bread']"
T085,"Eggs, Butter, Milk, Cheese","['Eggs', 'Butter', 'Milk', 'Cheese']"
T086,"Bread, Milk, Juice, Eggs","['Bread', 'Milk', 'Juice', 'Eggs']"
T087,"Rice, Vinegar, Cooking Oil","['Rice', 'Vinegar', 'Cooking Oil']"
T088,"Milk, Eggs, Bread, Coffee, Sugar","['Milk', 'Eggs', 'Bread', 'Coffee', 'Sugar']"
T089,"Butter, Cheese, Milk, Bread","['Butter', 'Cheese', 'Milk', 'Bread']"
T090,"Bread, Eggs, Milk, Juice","['Bread', 'Eggs', 'Milk', 'Juice']"
T091,"Coffee, Sugar, Creamer, Bread","['Coffee', 'Sugar', 'Creamer', 'Bread']"
T092,"Rice, Soy Sauce, Cooking Oil","['Rice', 'Soy Sauce', 'Cooking Oil']"
T093,"Milk, Bread, Eggs, Butter, Cheese","['Milk', 'Bread', 'Eggs', 'Butter', 'Cheese']"
T094,"Coffee, Sugar, Milk","['Coffee', 'Sugar', 'Milk']"
T095,"Eggs, Bread, Butter, Juice","['Eggs', 'Bread', 'Butter', 'Juice']"
T096,"Bread, Milk, Cheese, Eggs","['Bread', 'Milk', 'Cheese', 'Eggs']"
T097,"Rice, Canned Goods, Vinegar, Cooking Oil","['Rice', 'Canned Goods', 'Vinegar', 'Cooking Oil']"
T098,"Milk, Bread, Coffee, Sugar","['Milk', 'Bread', 'Coffee', 'Sugar']"
T099,"Eggs, Butter, Milk, Bread","['Eggs', 'Butter', 'Milk', 'Bread']"
T100,"Coffee, Sugar, Creamer, Bread, Milk","['Coffee', 'Sugar', 'Creamer', 'Bread', 'Milk']"
T101,"Bread, Milk, Eggs, Cheese, Butter","['Bread', 'Milk', 'Eggs', 'Cheese', 'Butter']"
T102,"Rice, Cooking Oil, Soy Sauce","['Rice', 'Cooking Oil', 'Soy Sauce']"
T103,"Milk, Bread, Eggs, Juice","['Milk', 'Bread', 'Eggs', 'Juice']"
T104,"Coffee, Sugar, Bread, Creamer","['Coffee', 'Sugar', 'Bread', 'Creamer']"
T105,"Eggs, Milk, Butter, Cheese","['Eggs', 'Milk', 'Butter', 'Cheese']"
T106,"Bread, Milk, Eggs, Coffee","['Bread', 'Milk', 'Eggs', 'Coffee']"
T107,"Rice, Canned Goods, Cooking Oil, Vinegar","['Rice', 'Canned Goods', 'Cooking Oil', 'Vinegar']"
T108,"Milk, Bread, Butter, Juice","['Milk', 'Bread', 'Butter', 'Juice']"
T109,"Eggs, Cheese, Milk, Bread","['Eggs', 'Cheese', 'Milk', 'Bread']"
T110,"Coffee, Sugar, Creamer, Milk, Bread","['Coffee', 'Sugar', 'Creamer', 'Milk', 'Bread']"
